"timestep","pft","num_agents"
1,"diatom",3.25
2,"diatom",3.5
3,"diatom",4.65
4,"diatom",4.95
5,"diatom",5.2
6,"diatom",5.25
7,"diatom",5.5
8,"diatom",5.6
9,"diatom",5.7
10,"diatom",6.05
11,"diatom",6.1
12,"diatom",6.45
13,"diatom",6.35
14,"diatom",6.15
15,"diatom",6.2
16,"diatom",6.05
17,"diatom",6
18,"diatom",5.9
19,"diatom",5.95
20,"diatom",6.2
21,"diatom",6.15
22,"diatom",6
23,"diatom",5.8
24,"diatom",5.8
25,"diatom",5.75
26,"diatom",5.75
27,"diatom",5.85
28,"diatom",5.8
29,"diatom",5.7
30,"diatom",5.8
31,"diatom",5.85
32,"diatom",5.7
33,"diatom",5.75
34,"diatom",5.6
35,"diatom",5.65
36,"diatom",5.6
37,"diatom",5.45
38,"diatom",5.5
39,"diatom",5.4
40,"diatom",5.6
41,"diatom",5.5
42,"diatom",5.5
43,"diatom",5.5
44,"diatom",5.45
45,"diatom",5.6
46,"diatom",5.5
47,"diatom",5.6
48,"diatom",5.55
49,"diatom",5.6
50,"diatom",5.65
51,"diatom",5.6
52,"diatom",5.55
53,"diatom",5.5
54,"diatom",5.5
55,"diatom",5.6
56,"diatom",5.6
57,"diatom",5.5
58,"diatom",5.45
59,"diatom",5.55
60,"diatom",5.55
61,"diatom",5.45
62,"diatom",5.3
63,"diatom",5.35
64,"diatom",5.25
65,"diatom",5.3
66,"diatom",5.3
67,"diatom",5.45
68,"diatom",5.4
69,"diatom",5.35
70,"diatom",5.25
71,"diatom",5.25
72,"diatom",5.2
73,"diatom",5.25
74,"diatom",5.3
75,"diatom",5.25
76,"diatom",5.25
77,"diatom",5.05
78,"diatom",5.15
79,"diatom",5.3
80,"diatom",5.05
81,"diatom",5.05
82,"diatom",5.1
83,"diatom",5.15
84,"diatom",4.95
85,"diatom",4.95
86,"diatom",4.9
87,"diatom",4.9
88,"diatom",4.8
89,"diatom",4.9
90,"diatom",4.9
91,"diatom",4.8
92,"diatom",4.8
93,"diatom",4.85
94,"diatom",4.75
95,"diatom",4.7
96,"diatom",4.85
97,"diatom",4.95
98,"diatom",4.7
99,"diatom",4.6
100,"diatom",4.6
101,"diatom",4.45
102,"diatom",4.4
103,"diatom",4.55
104,"diatom",4.65
105,"diatom",4.65
106,"diatom",4.65
107,"diatom",4.45
108,"diatom",4.5
109,"diatom",4.5
110,"diatom",4.5
111,"diatom",4.45
112,"diatom",4.6
113,"diatom",4.7
114,"diatom",4.8
115,"diatom",4.75
116,"diatom",4.7
117,"diatom",4.75
118,"diatom",4.6
119,"diatom",4.85
120,"diatom",4.75
121,"diatom",4.75
122,"diatom",4.8
123,"diatom",4.9
124,"diatom",5
125,"diatom",4.9
126,"diatom",4.85
127,"diatom",4.75
128,"diatom",4.95
129,"diatom",5.05
130,"diatom",5.05
131,"diatom",4.95
132,"diatom",4.9
133,"diatom",4.95
134,"diatom",5.05
135,"diatom",5
136,"diatom",5.05
137,"diatom",5.2
138,"diatom",5.35
139,"diatom",5.3
140,"diatom",5.2
141,"diatom",5.2
142,"diatom",5.2
143,"diatom",5.1
144,"diatom",5.1
145,"diatom",5.1
146,"diatom",5.15
147,"diatom",5.25
148,"diatom",5.15
149,"diatom",5.2
150,"diatom",5.15
151,"diatom",5.3
152,"diatom",5.25
153,"diatom",5.4
154,"diatom",5.4
155,"diatom",5.25
156,"diatom",5.4
157,"diatom",5.45
158,"diatom",5.6
159,"diatom",5.55
160,"diatom",5.55
161,"diatom",5.7
162,"diatom",5.6
163,"diatom",5.55
164,"diatom",5.75
165,"diatom",5.6
166,"diatom",5.7
167,"diatom",5.75
168,"diatom",5.7
169,"diatom",5.9
170,"diatom",5.9
171,"diatom",6.1
172,"diatom",5.95
173,"diatom",6.05
174,"diatom",6.1
175,"diatom",6.05
176,"diatom",5.8
177,"diatom",5.8
178,"diatom",5.95
179,"diatom",5.9
180,"diatom",6
181,"diatom",6.15
182,"diatom",6.25
183,"diatom",6.15
184,"diatom",6.45
185,"diatom",6.75
186,"diatom",6.7
187,"diatom",6.6
188,"diatom",6.65
189,"diatom",6.85
190,"diatom",6.9
191,"diatom",7.05
192,"diatom",7.15
193,"diatom",7.15
194,"diatom",7.15
195,"diatom",7.05
196,"diatom",7.15
197,"diatom",6.95
198,"diatom",7.15
199,"diatom",7.1
200,"diatom",7.25
201,"diatom",7.3
202,"diatom",7.35
203,"diatom",7.4
204,"diatom",7.65
205,"diatom",7.5
206,"diatom",7.8
207,"diatom",7.85
208,"diatom",8
209,"diatom",7.95
210,"diatom",7.95
211,"diatom",8.1
212,"diatom",8.05
213,"diatom",7.95
214,"diatom",8.05
215,"diatom",7.95
216,"diatom",7.95
