"Depth_inc","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","TotalConcNoMixed_ugL"
0.1,9.18,0,2.18,11.36
0.2,9.18,0,2.18,11.36
0.3,10.28,0,2.51,12.78
0.4,10.755,0,2.415,13.165
0.5,10.39,0,2.305,12.695
0.6,10.77,0,2.15,12.92
0.7,9.96,0,2.73,12.69
0.8,9.075,0,3.165,12.235
0.9,10.715,0,2.19,12.905
1,9.93,0.07,2.35,12.36
1.1,9.43,0,2.85,12.28
1.2,9.91,0,2.66,12.57
1.3,9.37,0,3.05,12.42
1.4,9.82,0,2.99,12.82
1.5,9.145,0,3.28,12.425
1.6,9.57,0,2.99,12.57
1.7,9.57,0,2.99,12.57
1.8,9.89,0.15,3.13,13.17
1.9,11.79,0.42,2.39,14.6
2,16.63,2.01,2.44,21.07
2.1,19.7,2.16,1.82,23.68
2.2,20.2,2.635,1.91,24.75
2.3,21.52,2.48,1.6,25.6
2.4,22.09,2.81,1.65,26.55
2.5,21.825,2.65,1.615,26.085
2.6,20.09,3.265,1.725,25.075
2.7,15.48,4.49,1.83,21.8
2.8,14.845,4.74,1.58,21.16
2.9,11.255,6.795,2.23,20.275
3,11.255,6.795,2.23,20.275
3.1,8.61,7.09,2.77,18.47
3.2,8.06,7.02,3.06,18.14
3.3,7.2,8.39,5.09,20.67
3.4,9.23,11.12,8.77,29.12
3.5,7.48,12.04,10.36,29.89
3.6,10.44,11.25,9.88,31.57
3.7,12.8,9.68,9.12,31.6
3.8,18.39,8.38,8.24,35
3.9,18.2,8.36,8.21,34.765
4,18.68,7.71,7.32,33.71
4.1,18.54,7.135,6.78,32.455
4.2,18.195,6.45,6.4,31.045
4.3,15.76,5.04,4.09,24.89
4.4,12.32,3.6,3.23,19.15
4.5,11.12,3.4,2.98,17.51
4.6,10.62,3.14,2.91,16.67
4.7,10.19,2.94,3.24,16.37
4.8,8.88,2.72,2.92,14.52
4.9,8.065,2.8,3.165,14.02
5,7.59,2.69,2.82,13.1
5.1,6.96,2.46,2.52,11.95
5.2,6.47,2.53,2.58,11.58
5.3,5.45,2.405,2.415,10.27
5.4,5.36,2.28,2.42,10.06
5.5,5.37,2.375,2.42,10.17
5.6,5.23,2.19,2.27,9.69
5.7,5.46,2.24,2.33,10.02
5.8,5.41,2.26,2.115,9.775
5.9,5.11,2.55,2.42,10.07
6,5.26,2.29,2.19,9.73
6.1,5.35,2.24,2.2,9.79
6.2,5.12,2.15,2.14,9.41
6.3,5.055,2.335,2.325,9.71
6.4,4.91,2.08,1.98,8.98
6.5,4.81,2.1,2.11,9.02
6.6,4.81,2.1,2.11,9.02
6.7,4.77,2.18,2.09,9.04
6.8,4.92,2.13,2.07,9.12
6.9,5.03,2.18,2.11,9.32
7,5.02,2.33,2.385,9.735
7.1,5.08,2.2,2.15,9.43
7.2,5.06,2.23,2.21,9.51
7.3,5.02,2.22,2.2,9.44
7.4,4.88,2.24,2.23,9.34
7.5,5.04,2.21,2.26,9.51
7.6,5.2,2.15,2.06,9.41
7.7,5.025,2.23,2.14,9.39
7.8,5.02,2.25,2.07,9.34
7.9,5.04,2.24,2.11,9.38
8,4.84,2.1,1.9,8.84
8.1,4.58,2.04,2,8.62
8.2,4.565,2.025,1.825,8.415
8.3,4.53,2.08,1.96,8.58
8.4,4.59,2.05,1.79,8.43
8.5,4.475,1.96,1.67,8.11
8.6,4.475,1.96,1.67,8.11
8.7,4.475,1.96,1.67,8.11
8.8,4.49,1.95,1.59,8.04
8.9,4.54,1.98,1.59,8.12
9,4.58,1.975,1.65,8.205
9.1,4.6,1.98,1.59,8.17
9.2,4.645,1.945,1.59,8.18
9.3,4.645,1.945,1.59,8.18
