"Depth_inc","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","TotalConcNoMixed_ugL"
0.1,4.44,7.795,2.535,14.77
0.2,4.44,7.795,2.535,14.77
0.3,4.44,7.795,2.535,14.77
0.4,4.44,7.795,2.535,14.77
0.5,4.44,7.795,2.535,14.77
0.6,3.655,7.205,1.97,12.83
0.7,4.65,7.73,2.46,14.84
0.8,3.51,7.6,1.96,13.08
0.9,3.775,7.92,2.975,14.665
1,3.42,7.58,2.37,13.37
1.1,3.53,7.19,2.25,12.97
1.2,4.61,7.03,0.65,12.29
1.3,2.835,7.045,2.22,12.1
1.4,3.445,7.97,2.52,13.935
1.5,3.745,7.805,2.155,13.705
1.6,3.265,6.975,2.495,12.73
1.7,4.04,7.125,2.29,13.45
1.8,4.15,6.9,2.095,13.14
1.9,2.825,7.51,3.31,13.645
2,3.28333333333333,7.62666666666667,3.13333333333333,14.0433333333333
2.1,3.06,7.66,2.97,13.69
2.2,4.015,7.855,3.085,14.955
2.3,3.825,8.075,3.26,15.16
2.4,3.47,7.72,3.84,15.02
2.5,3.625,7.265,3.37,14.26
2.6,3.635,6.575,3.195,13.4
2.7,3.61,6.3,2.825,12.735
2.8,3.615,5.485,2.02,11.125
2.9,2.72,4.21,1.99,8.92
3,2.43,2.975,1.955,7.355
3.1,2.755,2.97,1.595,7.325
3.2,2.12,2.48,1.81,6.41
3.3,2.22,2.24,1.42,5.87
3.4,2.35,2.23,1.2,5.78
3.5,2.035,1.41,1.1,4.545
3.6,1.43,1.21,1.37,4.01
3.7,1.515,0.935,0.81,3.265
3.8,1.205,1.07,1.07,3.335
3.9,0.96,1.1,1.05,3.11
4,0.995,0.915,0.915,2.82
4.1,0.86,0.88,0.91,2.64
4.2,0.18,0.88,1.23,2.29
4.3,1.01,0.905,1.035,2.95
4.4,2.61,1.35,1.05,5.01
4.5,2.58,1.52,1.32,5.425
4.6,3.1,1.37,0.9,5.37
4.7,2.535,1.33,1.06,4.915
4.8,2.38,1.14,0.83,4.36
4.9,2.44,1.225,0.885,4.545
5,2.35,1.16,0.87,4.39
5.1,1.645,0.935,0.445,3.02
5.2,1.245,0.89,0.42,2.55
5.3,1.15,0.89,0.36,2.4
5.4,1.14,0.92,0.34,2.39
5.5,1.12,0.84,0.36,2.33
5.6,0.86,0.79,0.255,1.9
5.7,0.95,0.81,0.24,2
5.8,0.78,0.71,0.22,1.71
5.9,0.66,0.74,0.22,1.63
6,0.74,0.75,0.16,1.65
6.1,0.63,0.72,0.24,1.6
6.2,0.75,0.74,0.2,1.7
6.3,0.695,0.72,0.18,1.595
6.4,0.75,0.74,0.145,1.635
6.5,0.81,0.72,0.14,1.67
6.6,0.73,0.75,0.22,1.7
6.7,0.76,0.75,0.135,1.645
6.8,0.645,0.71,0.15,1.505
6.9,0.77,0.72,0.1,1.6
7,0.77,0.72,0.1,1.6
7.1,0.61,0.69,0.1,1.41
7.2,0.72,0.74,0.145,1.605
7.3,0.61,0.72,0.15,1.48
7.4,0.59,0.73,0.16,1.47
7.5,0.62,0.74,0.13,1.5
7.6,0.69,0.7,0.1,1.49
7.7,0.7,0.73,0.12,1.54
7.8,0.66,0.77,0.15,1.58
7.9,0.69,0.77,0.1,1.57
8,0.68,0.79,0.15,1.62
8.1,0.73,0.84,0.17,1.74
8.2,0.635,0.79,0.17,1.595
8.3,0.58,0.8,0.13,1.51
8.4,0.58,0.8,0.13,1.51
8.5,0.63,0.81,0.1,1.54
8.6,0.71,0.82,0.14,1.66
8.7,0.84,0.85,0.1,1.79
8.8,0.62,0.83,0.17,1.61
8.9,0.62,0.84,0.14,1.6
9,0.72,0.845,0.11,1.675
9.1,0.73,0.85,0.13,1.71
9.2,0.72,0.87,0.11,1.71
9.3,0.84,0.96,0.29,2.08
