"timestep","surface_agents"
1,909
2,902
3,893
4,887
5,877
6,873
7,861
8,858
9,855
10,854
11,847
12,843
13,842
14,837
15,832
16,831
17,831
18,827
19,824
20,820
21,817
22,815
23,812
24,809
25,803
26,798
27,797
28,796
29,795
30,793
31,793
32,789
33,788
34,786
35,784
36,781
37,780
38,778
39,772
40,771
41,768
42,766
43,765
44,764
45,762
46,759
47,757
48,756
49,756
50,756
51,755
52,750
53,749
54,747
55,746
56,745
57,743
58,738
59,736
60,736
61,736
62,735
63,734
64,734
65,734
66,731
67,730
68,730
69,727
70,727
71,726
72,725
73,722
74,721
75,721
76,720
77,717
78,714
79,713
80,710
81,707
82,705
83,704
84,704
85,704
86,703
87,703
88,704
89,704
90,703
91,702
92,700
93,700
94,700
95,698
96,698
97,697
98,697
99,696
100,696
101,696
102,695
103,694
104,694
105,693
106,693
107,692
108,692
109,691
110,690
111,688
112,687
113,686
114,686
115,686
116,686
117,684
118,682
119,682
120,680
121,680
122,680
123,678
124,677
125,677
126,676
127,676
128,676
129,676
130,674
131,674
132,674
133,672
134,672
135,672
136,672
137,672
138,671
139,671
140,671
141,669
142,669
143,669
144,669
145,669
146,668
147,667
148,666
149,666
150,665
151,665
152,664
153,664
154,664
155,663
156,663
157,663
158,663
159,663
160,664
161,664
162,664
163,663
164,662
165,661
166,659
167,659
168,659
169,659
170,659
171,658
172,658
173,658
174,657
175,658
176,658
177,656
178,656
179,656
180,654
181,654
182,654
183,654
184,652
185,651
186,651
187,651
188,651
189,650
190,649
191,648
192,648
193,647
194,647
195,646
196,645
197,643
198,643
199,643
200,641
201,640
202,639
203,639
204,639
205,638
206,636
207,636
208,636
209,636
210,633
211,633
212,632
213,631
214,630
215,630
216,629
217,629
218,628
219,630
220,629
221,629
222,629
223,629
224,629
225,629
226,629
227,628
228,626
229,626
230,626
231,626
232,626
233,626
234,624
235,624
236,625
237,623
238,621
239,621
240,620
241,619
242,618
243,617
244,617
245,615
246,614
247,614
248,613
249,613
250,612
251,608
252,606
253,605
254,605
255,605
256,605
257,603
258,603
259,603
260,604
261,604
262,604
263,604
264,604
265,604
266,604
267,604
268,602
269,601
270,601
271,601
272,601
273,601
274,599
275,599
276,599
277,599
278,599
279,597
280,597
281,597
282,597
283,597
284,596
285,596
286,594
287,594
288,594
289,594
290,594
291,594
292,594
293,594
294,594
295,594
296,593
297,593
298,593
299,591
300,591
301,590
302,590
303,590
304,590
305,589
306,589
307,588
308,587
309,587
310,587
311,587
312,586
313,585
314,585
315,585
316,584
317,583
318,583
319,583
320,583
321,583
322,582
323,582
324,582
325,582
326,582
327,582
328,582
329,582
330,581
331,581
332,581
333,581
334,581
335,581
336,581
337,581
338,581
339,580
340,580
341,580
342,579
343,579
344,579
345,579
346,579
347,579
348,579
349,580
350,580
351,579
352,579
353,579
354,579
355,579
356,579
357,579
358,579
359,578
360,578
361,577
362,576
363,574
364,574
365,574
366,574
367,574
368,573
369,573
370,573
371,572
372,572
373,570
374,569
375,568
376,568
377,568
378,568
379,567
380,567
381,567
382,566
383,566
384,566
385,566
386,567
387,566
388,566
389,566
390,566
391,565
392,565
393,565
394,564
395,564
396,563
397,563
398,563
399,563
400,561
401,561
402,561
403,561
404,560
405,560
406,560
407,560
408,558
409,557
410,557
411,557
412,557
413,556
414,556
415,556
416,556
417,555
418,554
419,554
420,554
421,554
422,555
423,555
424,555
425,555
426,555
427,554
428,554
429,554
430,554
431,554
432,554
433,554
434,554
435,554
436,554
437,554
438,554
439,554
440,554
441,554
442,554
443,554
444,554
445,554
446,554
447,554
448,554
449,554
450,554
451,554
452,553
453,553
454,553
455,553
456,553
457,553
458,554
459,554
460,554
461,554
462,554
463,553
464,553
465,553
466,552
467,552
468,552
469,552
470,552
471,552
472,552
473,552
474,552
475,552
476,552
477,552
478,552
479,552
480,552
481,552
482,552
483,552
484,552
485,552
486,552
487,552
488,552
489,552
490,552
491,552
492,552
493,552
494,551
495,551
496,551
497,551
498,551
499,551
500,551
501,551
502,551
503,551
504,551
505,551
506,551
507,551
508,551
509,551
510,551
511,551
512,551
513,551
514,550
515,550
516,550
517,550
518,550
