"timestep","pft","num_agents"
1,"diatom",3.65
2,"diatom",4.45
3,"diatom",4.95
4,"diatom",5.3
5,"diatom",5.7
6,"diatom",5.8
7,"diatom",6.15
8,"diatom",6
9,"diatom",6.2
10,"diatom",6.55
11,"diatom",6.4
12,"diatom",6.75
13,"diatom",6.7
14,"diatom",6.65
15,"diatom",6.65
16,"diatom",6.45
17,"diatom",6.4
18,"diatom",6.45
19,"diatom",6.3
20,"diatom",6.2
21,"diatom",6.1
22,"diatom",5.85
23,"diatom",5.85
24,"diatom",5.75
25,"diatom",5.75
26,"diatom",5.8
27,"diatom",5.75
28,"diatom",5.45
29,"diatom",5.3
30,"diatom",5.5
31,"diatom",5.5
32,"diatom",5.4
33,"diatom",5.35
34,"diatom",5.25
35,"diatom",5.25
36,"diatom",5.25
37,"diatom",5.3
38,"diatom",5.2
39,"diatom",5.25
40,"diatom",4.9
41,"diatom",5
42,"diatom",5.05
43,"diatom",4.95
44,"diatom",5
45,"diatom",4.95
46,"diatom",4.9
47,"diatom",5.05
48,"diatom",5.05
49,"diatom",4.9
50,"diatom",4.85
51,"diatom",4.95
52,"diatom",5
53,"diatom",4.95
54,"diatom",4.85
55,"diatom",4.9
56,"diatom",4.75
57,"diatom",4.7
58,"diatom",4.8
59,"diatom",4.7
60,"diatom",4.6
61,"diatom",4.55
62,"diatom",4.5
63,"diatom",4.5
64,"diatom",4.5
65,"diatom",4.55
66,"diatom",4.5
67,"diatom",4.45
68,"diatom",4.45
69,"diatom",4.45
70,"diatom",4.2
71,"diatom",4.2
72,"diatom",4.15
73,"diatom",3.95
74,"diatom",4.05
75,"diatom",4.05
76,"diatom",4
77,"diatom",3.95
78,"diatom",3.9
79,"diatom",3.9
80,"diatom",4.05
81,"diatom",3.95
82,"diatom",3.95
83,"diatom",3.9
84,"diatom",3.85
85,"diatom",3.85
86,"diatom",3.95
87,"diatom",3.8
88,"diatom",3.8
89,"diatom",3.65
90,"diatom",3.7
91,"diatom",3.65
92,"diatom",3.75
93,"diatom",3.75
94,"diatom",3.65
95,"diatom",3.65
96,"diatom",3.65
97,"diatom",3.6
98,"diatom",3.65
99,"diatom",3.75
100,"diatom",3.65
101,"diatom",3.65
102,"diatom",3.6
103,"diatom",3.55
104,"diatom",3.6
105,"diatom",3.55
106,"diatom",3.6
107,"diatom",3.55
108,"diatom",3.55
109,"diatom",3.7
110,"diatom",3.5
111,"diatom",3.55
112,"diatom",3.6
113,"diatom",3.55
114,"diatom",3.7
115,"diatom",3.6
116,"diatom",3.7
117,"diatom",3.65
118,"diatom",3.7
119,"diatom",3.65
120,"diatom",3.7
121,"diatom",3.65
122,"diatom",3.6
123,"diatom",3.65
124,"diatom",3.8
125,"diatom",3.6
126,"diatom",3.6
127,"diatom",3.7
128,"diatom",3.7
129,"diatom",3.75
130,"diatom",3.75
131,"diatom",3.75
132,"diatom",3.85
133,"diatom",4.05
134,"diatom",3.95
135,"diatom",3.9
