"timestep","surface_agents"
1,2.4
2,3.4
3,3.75
4,4.15
5,4.65
6,4.7
7,4.75
8,5
9,5.1
10,5.25
11,5.3
12,5.35
13,5.2
14,5.25
15,5.3
16,5.35
17,5.4
18,5.3
19,5.25
20,5.3
21,5.3
22,5.4
23,5.5
24,5.35
25,5.3
26,5.35
27,5.4
28,5.3
29,5.25
30,5.1
31,5.05
32,5.2
33,5.1
34,5.15
35,5.1
36,5.1
37,5.1
38,5.05
39,5
40,5.1
41,5.1
42,4.95
43,4.95
44,5.05
45,4.85
46,4.8
47,4.8
48,4.85
49,4.8
50,4.85
51,4.7
52,4.7
53,4.6
54,4.55
55,4.55
56,4.65
57,4.6
58,4.5
59,4.5
60,4.5
61,4.45
62,4.4
63,4.6
64,4.5
65,4.6
66,4.5
67,4.4
68,4.4
69,4.3
70,4.4
71,4.3
72,4.25
73,4.2
74,4.15
75,4.2
76,4.25
77,4.25
78,4.25
79,4.2
80,4.4
81,4.2
82,4.1
83,4.1
84,4.15
85,4.1
86,4.05
87,3.8
88,3.9
89,4.05
90,4
91,3.95
92,3.85
93,4.05
94,4.05
95,4.05
96,4.1
97,3.95
98,4.05
99,4
100,3.8
101,3.65
102,3.9
103,4
104,3.95
105,4.05
106,4
107,4
108,4.15
109,4.05
110,3.95
111,4.1
112,4.1
113,4.15
114,4.2
115,4.2
116,4.05
117,3.9
118,3.8
119,3.8
120,3.95
121,3.9
122,4.05
123,4
124,4
125,3.9
126,4.1
127,3.85
128,3.9
129,3.9
130,3.9
131,4
132,4.15
133,4.15
134,4.05
135,3.95
136,4.05
137,4.05
138,4.05
139,4.1
140,4.2
141,4.2
142,3.95
143,3.9
144,3.85
145,3.95
146,4.05
147,4.15
148,4.1
149,3.95
150,3.95
151,3.75
152,3.8
153,3.7
154,3.7
155,3.7
156,3.65
157,3.75
158,3.85
159,3.9
160,3.8
161,3.7
162,3.7
163,3.85
164,3.95
165,3.95
166,4
167,4.05
168,4.05
169,4.1
170,4.05
171,3.85
172,4
173,3.75
174,3.9
175,3.8
176,3.95
177,4.1
178,3.95
179,4
180,4.15
181,4
182,4.15
183,4.1
184,4
185,4.05
186,4.15
187,3.9
188,4
189,4.1
190,4.15
191,4.1
192,4.1
193,4.05
194,4
195,3.95
196,3.8
197,3.9
198,4
199,3.95
200,4.2
201,4.25
202,4.45
203,4.3
204,4.2
205,4.3
206,4.15
207,4.1
208,4.15
209,4.1
210,4.05
211,4
212,4
213,4.05
214,3.95
215,4.1
216,4.25
217,4.15
218,4.15
219,4.25
220,4.35
221,4.55
222,4.55
223,4.45
224,4.4
225,4.6
226,4.6
227,4.6
228,4.65
229,4.75
230,4.85
231,4.85
232,4.85
233,4.85
234,4.75
235,4.85
236,4.85
237,5.05
238,5.05
239,5.15
240,5.15
241,5.05
242,5.1
243,5.1
244,5.3
245,5.1
246,5.05
247,4.9
248,4.95
249,4.85
250,4.8
251,4.95
252,5.05
253,5.15
254,5.2
255,5.15
256,5.35
257,5.4
258,5.3
259,5.2
260,5.05
261,5
262,5.05
263,5.15
264,5.1
265,5.05
266,4.9
267,4.9
268,5
269,5.1
270,5.2
271,5.35
272,5.15
273,5.15
274,5.1
275,5.15
276,5.35
277,5.4
278,5.35
279,5.45
280,5.35
281,5.3
282,5.3
283,5.3
284,5.1
285,5.05
286,5.15
287,4.9
288,5.05
289,5
290,5.15
291,4.95
292,5
293,5.15
294,5.1
295,5.1
296,5.1
297,5.05
298,5.05
299,5.2
300,5.15
301,5
302,4.9
303,4.85
304,4.9
305,4.9
306,4.85
307,4.9
308,4.85
309,4.85
310,4.9
311,4.9
312,4.9
313,4.8
314,4.75
315,4.6
316,4.5
317,4.6
318,4.5
319,4.5
320,4.7
321,4.7
322,4.65
323,4.65
324,4.6
325,4.65
326,4.6
327,4.55
328,4.45
329,4.3
330,4.25
331,4.25
332,4.25
333,4.25
334,4.2
335,4.4
336,4.25
337,4.25
338,4.2
339,4.15
340,4.2
341,4.2
342,4.15
343,4.1
344,3.9
345,3.85
346,3.9
347,3.8
348,3.85
349,3.9
350,4
351,3.95
352,3.95
353,3.95
354,3.9
355,4
356,4
357,3.95
358,3.95
359,3.8
360,3.7
361,3.7
362,3.5
363,3.45
364,3.4
365,3.5
366,3.55
367,3.5
368,3.55
369,3.65
370,3.65
371,3.7
372,3.8
373,3.8
374,3.8
375,3.75
376,3.7
377,3.7
378,3.7
379,3.8
380,3.8
381,3.8
382,3.85
383,3.85
384,3.8
385,3.8
386,3.75
387,3.7
388,3.65
389,3.6
390,3.6
391,3.65
392,3.75
393,3.55
394,3.45
395,3.55
396,3.6
397,3.65
398,3.7
399,3.6
400,3.7
401,3.75
402,3.65
403,3.65
404,3.6
405,3.55
406,3.6
407,3.65
408,3.6
409,3.55
410,3.55
411,3.5
412,3.5
413,3.45
414,3.4
415,3.35
416,3.35
417,3.5
418,3.4
419,3.35
420,3.35
421,3.35
422,3.35
423,3.35
424,3.3
425,3.35
426,3.4
427,3.55
428,3.5
429,3.5
430,3.5
431,3.55
432,3.6
433,3.6
434,3.65
435,3.7
436,3.7
437,3.75
438,3.7
439,3.8
440,3.7
441,3.7
442,3.8
443,3.9
444,3.7
445,3.65
446,3.55
447,3.4
448,3.55
449,3.55
450,3.4
451,3.35
452,3.4
453,3.55
454,3.6
455,3.5
456,3.6
457,3.55
458,3.6
459,3.65
460,3.6
461,3.65
462,3.65
463,3.75
464,3.8
465,3.7
466,3.6
467,3.75
468,3.8
469,3.75
470,3.8
471,4
472,3.95
473,3.85
474,3.9
475,3.9
476,4
477,4
478,3.85
479,3.75
480,3.75
481,3.9
482,4
483,3.9
484,4
485,3.95
486,3.95
487,3.9
488,4.05
489,4.1
490,4.15
491,4.25
492,4.25
493,4.15
494,4.3
495,4.15
496,4.3
497,4.35
498,4.45
499,4.55
500,4.45
501,4.35
502,4.25
503,4.3
504,4.25
505,4.25
506,4.2
507,4.3
508,4.25
509,4.25
510,4.2
511,4.3
512,4.4
513,4.45
514,4.5
515,4.5
516,4.35
517,4.4
518,4.5
519,4.5
520,4.55
521,4.6
522,4.45
523,4.55
524,4.5
525,4.55
526,4.6
527,4.6
528,4.85
529,4.8
530,4.65
531,4.65
532,4.85
533,4.95
534,5
535,4.9
536,4.95
537,4.85
538,5
539,5.05
540,5
541,5.1
542,5
543,5.2
544,5.25
545,5.3
546,5.1
547,5.15
548,5.35
549,5.15
550,5.35
551,5.25
552,5.3
553,5.1
554,4.9
555,5.1
556,5.05
557,5.1
558,5.2
559,5.2
560,5.05
561,5.25
562,5.5
563,5.45
564,5.25
565,5.25
566,5.4
567,5.45
568,5.35
569,5.55
570,5.55
571,5.6
572,5.6
573,5.65
574,5.65
575,5.65
576,5.65
577,5.75
578,5.8
579,5.85
580,6
581,6.05
582,6
583,6.05
584,6.1
585,6.15
586,6.25
587,6.3
588,6.35
589,6.3
590,6.3
591,6.35
592,6.4
593,6.5
594,6.4
595,6.35
596,6.3
597,6.35
598,6.6
599,6.6
600,6.55
601,6.6
602,6.5
603,6.55
604,6.6
605,6.75
606,6.7
607,6.55
608,6.75
609,6.9
610,6.95
611,7.15
612,7.1
613,7.25
614,7.2
615,7.15
616,7.25
617,7.2
618,7.3
619,7.25
620,7.2
621,7.35
622,7.35
623,7.35
624,7.55
625,7.4
626,7.3
627,7.4
628,7.45
629,7.45
630,7.45
631,7.2
632,7.25
633,7.4
634,7.45
635,7.3
636,7.45
637,7.5
638,7.6
639,7.4
640,7.3
641,7.15
642,7.2
643,7.3
644,7.15
645,7.25
646,7.3
647,7.3
648,7.45
649,7.15
650,7.4
651,7.25
652,7.35
653,7.3
654,7.35
655,6.95
656,7.05
657,6.95
658,6.85
659,6.95
660,6.9
661,7.3
662,7.35
663,7.45
664,7.4
665,7.35
666,7.15
667,7.15
668,7.25
669,7.2
670,7.25
671,7.4
672,7.4
673,7.45
674,7.3
675,7.2
676,7.15
677,7.05
678,7.3
679,7.2
680,7.2
681,7.5
682,7.5
683,7.75
684,7.9
685,7.95
686,8.05
687,8
688,8.1
689,7.95
690,7.9
691,8.1
692,8.1
693,8.15
694,8.25
695,8.5
696,8.2
697,8.05
698,8.1
699,8.1
700,8.15
701,8.4
702,8.5
703,8.65
704,8.75
705,8.75
706,8.65
707,8.65
