"timestep","surface_agents"
1,2.35
2,2.7
3,3.5
4,3.9
5,4.05
6,4.4
7,4.55
8,4.75
9,4.75
10,5
11,5.05
12,5.1
13,5.2
14,5.15
15,5.15
16,5.35
17,5.25
18,5.25
19,5.2
20,5.25
21,5.4
22,5.25
23,5.25
24,5.15
25,5.05
26,4.95
27,4.9
28,5.05
29,5.1
30,5
31,5
32,4.95
33,4.7
34,4.65
35,4.6
36,4.5
37,4.55
38,4.55
39,4.55
40,4.65
41,4.6
42,4.65
43,4.65
44,4.65
45,4.7
46,4.45
47,4.6
48,4.55
49,4.45
50,4.45
51,4.35
52,4.4
53,4.35
54,4.35
55,4.35
56,4.4
57,4.4
58,4.35
59,4.25
60,4.25
61,4.15
62,4
63,4.1
64,4.15
65,4.15
66,4
67,4
68,4.05
69,4.05
70,4
71,4.05
72,4
73,3.95
74,3.95
75,4
76,3.85
77,3.8
78,3.75
79,3.85
80,3.85
81,3.85
82,3.85
83,3.75
84,3.8
85,3.65
86,3.7
87,3.75
88,3.65
89,3.6
90,3.7
91,3.75
92,3.75
93,3.85
94,3.8
95,3.75
96,3.7
97,3.7
98,3.75
99,3.55
100,3.5
101,3.5
102,3.45
103,3.6
104,3.4
105,3.45
106,3.45
107,3.3
108,3.35
109,3.35
110,3.4
111,3.15
112,3.3
113,3.35
114,3.3
115,3.25
116,3.2
117,3.2
118,3.15
119,3.1
120,3.2
121,3.05
122,3.1
123,3
124,3.1
125,3.05
126,3.05
127,3.1
128,2.95
129,2.8
130,2.9
131,2.95
132,2.95
133,2.85
134,2.8
135,2.75
136,2.65
137,2.65
138,2.75
139,2.7
140,2.85
141,2.75
142,2.7
143,2.7
144,2.85
145,2.9
146,2.85
147,2.9
148,2.75
149,2.75
150,2.7
151,2.7
152,2.65
153,2.6
154,2.45
155,2.55
156,2.5
157,2.55
158,2.5
159,2.6
160,2.6
161,2.6
162,2.55
163,2.55
164,2.65
165,2.7
166,2.65
167,2.7
168,2.75
169,2.75
170,2.75
171,2.75
172,2.7
173,2.7
174,2.65
175,2.75
176,2.85
177,2.8
178,2.8
179,2.75
180,2.8
181,2.8
182,2.85
183,2.85
184,2.95
185,3
186,2.8
187,2.85
188,2.9
189,3.05
190,3.15
191,3.3
192,3.2
193,3.4
194,3.25
195,3.3
196,3.35
197,3.3
198,3.4
199,3.4
200,3.45
201,3.5
202,3.5
203,3.45
204,3.55
205,3.55
206,3.55
207,3.6
208,3.65
209,3.6
210,3.75
211,3.75
212,3.8
213,3.8
214,3.85
215,3.8
216,3.6
217,3.6
218,3.6
219,3.65
220,3.7
221,3.75
222,3.75
223,3.95
224,3.95
225,4.1
226,4.05
227,4.2
228,4.15
229,4.05
230,4
231,4.15
232,4.3
233,4.2
234,4.3
235,4.4
236,4.25
237,4.4
238,4.4
239,4.4
240,4.5
241,4.4
242,4.35
243,4.4
244,4.45
245,4.4
246,4.4
247,4.3
248,4.2
249,4.2
250,4.2
251,4.3
252,4.35
253,4.35
254,4.2
255,4.5
256,4.5
257,4.65
258,4.65
259,4.55
260,4.6
261,4.6
262,4.45
263,4.55
264,4.4
265,4.5
266,4.5
267,4.45
268,4.6
269,4.6
270,4.6
271,5.05
272,5.1
273,5
274,5
275,4.9
276,4.9
277,4.9
278,4.9
279,4.7
280,4.65
281,4.65
282,4.8
283,4.8
284,4.75
285,4.75
286,4.8
287,4.5
288,4.35
289,4.5
290,4.6
291,4.75
292,4.7
293,4.8
294,4.75
295,4.8
296,4.75
297,4.95
298,4.9
299,4.95
300,5
301,4.85
302,4.75
303,4.7
304,4.6
305,4.9
306,4.7
307,4.8
308,4.75
309,4.8
310,4.7
311,4.85
312,4.75
313,4.75
314,4.7
315,4.85
316,4.85
317,5.05
318,5.1
319,5.2
320,5.25
321,5.35
322,5.3
323,5.15
324,5.05
325,5.1
326,5.35
327,5.2
328,5.25
329,5.4
330,5.3
331,5.35
332,5.25
333,5.2
334,5.15
335,5.15
336,5.15
337,5.2
338,5.15
339,5.25
340,5.4
341,5.25
342,5.2
343,5.3
344,5.25
345,5.3
346,5.3
347,5.3
348,5.45
349,5.5
350,5.75
351,5.9
352,5.95
353,6
354,5.85
355,6.05
356,6.1
357,6.05
358,5.85
359,5.9
360,5.75
361,5.9
362,5.95
363,5.95
364,5.9
365,5.8
366,5.75
367,5.7
368,5.85
369,5.85
370,5.75
371,5.8
372,5.85
373,5.8
374,5.9
375,5.8
376,5.85
377,5.8
378,5.65
379,5.75
380,5.75
381,5.9
382,5.75
383,5.85
384,5.7
385,5.8
386,5.65
387,5.65
388,5.6
389,5.75
390,5.75
391,5.55
392,5.6
393,5.75
394,5.7
395,5.65
396,5.7
397,5.55
398,5.6
399,5.35
400,5.4
401,5.35
402,5.35
403,5.5
404,5.45
405,5.4
406,5.35
407,5.3
408,5.35
409,5.3
410,5.3
411,5.25
412,5.15
413,5.25
414,5.35
415,5.15
416,5.15
417,5.3
418,5.45
419,5.5
420,5.45
421,5.55
422,5.5
423,5.55
424,5.7
425,5.75
426,5.65
427,5.7
428,5.85
429,5.85
430,5.55
431,5.65
432,5.6
433,5.55
434,5.5
435,5.4
436,5.45
437,5.55
438,5.7
439,5.55
440,5.5
441,5.7
442,5.75
443,5.45
444,5.6
445,5.35
446,5.4
447,5.6
448,5.55
449,5.65
450,5.75
451,5.85
452,5.75
453,5.75
454,5.75
455,5.65
456,5.65
457,5.55
458,5.55
459,5.65
460,5.6
461,5.5
462,5.8
463,5.8
464,5.85
465,5.8
466,6.1
467,6.05
468,6.1
469,5.9
470,6.05
471,5.9
472,6
473,5.95
474,5.9
475,6.05
476,6.1
477,6
478,5.9
479,5.9
480,5.9
481,5.85
482,5.75
483,5.85
484,5.9
485,5.9
486,5.95
487,6
488,6.15
489,6.25
490,6.25
491,6.25
492,6.4
493,6.45
494,6.5
495,6.7
496,6.6
497,6.4
498,6.45
499,6.55
500,6.5
501,6.55
502,6.55
503,6.75
504,6.65
505,6.75
506,6.65
507,6.75
508,6.5
509,6.65
510,6.75
511,6.85
512,6.75
513,6.65
514,6.65
515,6.7
516,6.55
517,6.6
518,6.9
519,6.85
520,6.7
521,6.7
522,6.7
523,6.75
524,6.75
525,6.85
526,7
527,7.25
528,7.3
529,7.3
530,7.35
531,7.4
532,7.3
533,7.35
534,7.45
535,7.4
536,7.3
537,7.2
538,7.2
539,7.25
540,7.2
541,7.45
542,7.3
543,7.35
544,7.25
545,7
546,7
547,7.05
548,7
549,6.95
550,7.05
551,7.2
552,7.4
553,7.4
554,7.3
555,7.3
556,7.25
557,7.3
558,7.3
559,7.4
560,7.25
561,7.55
562,7.7
563,7.7
564,7.9
565,7.85
566,7.85
567,8.1
568,7.95
569,7.95
570,7.9
571,7.95
572,8
573,7.7
574,7.8
575,7.85
576,7.9
577,7.75
578,7.85
579,7.65
580,7.65
581,7.95
582,8.05
583,8
584,8
585,8.15
586,8
587,8.1
588,8.1
589,8.05
590,8.05
591,7.95
592,8.3
593,8.25
594,8.5
595,8.75
596,8.7
597,8.75
598,8.55
599,8.8
600,8.85
601,8.8
602,8.9
603,8.85
604,8.85
605,8.8
606,8.95
607,9.1
608,9.15
609,9.1
610,9.05
611,9
612,9.1
613,9.3
614,9.45
615,9.35
616,9.4
617,9.4
618,9.5
619,9.6
620,9.6
621,9.65
622,9.45
623,9.7
624,9.7
625,9.8
626,9.8
627,9.8
628,9.6
629,9.7
630,9.4
631,9.45
632,9.55
633,9.5
634,9.45
635,9.55
636,9.4
637,9.55
638,9.4
639,9.35
640,9.3
641,9.3
642,9.45
643,9.3
644,9.25
645,9.25
646,9.25
647,9.35
648,9.55
649,9.5
650,9.5
651,9.55
652,9.3
653,9.85
654,9.6
655,9.7
656,9.75
657,9.65
658,10
659,9.9
660,10
661,10.25
662,10.2
663,10.3
664,10.65
665,10.65
666,10.5
667,10.55
668,10.45
669,10.45
670,10.55
671,10.45
672,10.6
673,10.4
674,10.45
675,10.7
676,10.6
677,10.4
678,10.35
679,10.65
680,10.85
681,11
682,11
683,11.05
684,10.95
685,11.1
686,11.1
687,11.1
688,11.15
689,11.2
690,11.25
691,11.2
692,11.55
693,11.45
694,11.25
695,11.3
696,11.7
697,11.9
698,12
699,11.9
700,11.95
701,11.9
702,11.85
703,11.8
704,11.7
705,11.9
706,11.65
707,11.45
708,11.6
709,11.95
710,11.8
711,11.95
712,12.2
713,12
714,11.95
715,12
716,12.15
717,12.05
718,11.9
719,12.1
720,12.1
721,12.25
722,12.3
723,12.45
724,12.4
725,12.6
726,12.6
727,12.85
728,12.8
729,12.5
730,12.7
731,12.8
732,12.65
733,12.6
734,12.55
735,12.6
736,12.65
737,12.8
738,12.8
739,13.05
740,13.35
741,13.2
742,13.05
743,13.2
744,13.05
745,13
746,13.15
747,13.25
748,13.25
749,13.4
750,13.55
751,13.65
752,13.5
753,13.45
754,13.4
755,13.55
756,13.7
757,13.65
758,13.55
759,13.55
760,13.75
761,13.7
762,13.65
763,13.8
764,13.65
765,13.6
766,13.55
767,13.65
768,13.5
769,13.5
770,13.6
771,13.55
772,13.55
773,13.4
774,13.45
775,13.5
776,13.35
777,13.2
778,13.05
779,13.3
780,13.45
781,13.35
782,13.2
