"timestep","surface_agents"
1,3.65
2,4.45
3,4.95
4,5.3
5,5.7
6,5.8
7,6.15
8,6
9,6.2
10,6.55
11,6.4
12,6.75
13,6.7
14,6.65
15,6.65
16,6.45
17,6.4
18,6.45
19,6.3
20,6.2
21,6.1
22,5.85
23,5.85
24,5.75
25,5.75
26,5.8
27,5.75
28,5.45
29,5.3
30,5.5
31,5.5
32,5.4
33,5.35
34,5.25
35,5.25
36,5.25
37,5.3
38,5.2
39,5.25
40,4.9
41,5
42,5.05
43,4.95
44,5
45,4.95
46,4.9
47,5.05
48,5.05
49,4.9
50,4.85
51,4.95
52,5
53,4.95
54,4.85
55,4.9
56,4.75
57,4.7
58,4.8
59,4.7
60,4.6
61,4.55
62,4.5
63,4.5
64,4.5
65,4.55
66,4.5
67,4.45
68,4.45
69,4.45
70,4.2
71,4.2
72,4.15
73,3.95
74,4.05
75,4.05
76,4
77,3.95
78,3.9
79,3.9
80,4.05
81,3.95
82,3.95
83,3.9
84,3.85
85,3.85
86,3.95
87,3.8
88,3.8
89,3.65
90,3.7
91,3.65
92,3.75
93,3.75
94,3.65
95,3.65
96,3.65
97,3.6
98,3.65
99,3.75
100,3.65
101,3.65
102,3.6
103,3.55
104,3.6
105,3.55
106,3.6
107,3.55
108,3.55
109,3.7
110,3.5
111,3.55
112,3.6
113,3.55
114,3.7
115,3.6
116,3.7
117,3.65
118,3.7
119,3.65
120,3.7
121,3.65
122,3.6
123,3.65
124,3.8
125,3.6
126,3.6
127,3.7
128,3.7
129,3.75
130,3.75
131,3.75
132,3.85
133,4.05
134,3.95
135,3.9
136,3.9
137,3.95
138,3.95
139,3.85
140,3.9
141,3.85
142,3.9
143,3.95
144,3.95
145,3.9
146,3.9
147,3.95
148,3.95
149,4.05
150,3.9
151,4.05
152,3.95
153,4.05
154,3.95
155,3.9
156,3.85
157,3.95
158,4
159,4
160,3.8
161,3.85
162,3.9
163,3.9
164,3.95
165,3.95
166,4.05
167,4
168,4.1
169,3.95
170,3.9
171,3.8
172,3.8
173,3.8
174,4
175,4
176,3.85
177,3.95
178,3.8
179,3.7
180,3.8
181,3.95
182,4
183,4.1
184,4.25
185,4.4
186,4.35
187,4.35
188,4.4
189,4.45
190,4.5
191,4.5
192,4.65
193,4.7
194,4.55
195,4.65
196,4.65
197,4.65
198,4.7
199,4.7
200,4.65
201,4.8
202,4.9
203,5
204,4.9
205,4.9
206,4.95
207,5
208,5
209,5
210,5
211,5.05
212,5.15
213,5.2
214,5.1
215,5.05
216,5.2
217,5.15
218,5.1
219,5.15
220,5.15
221,4.9
222,5.05
223,4.9
224,4.95
225,5
226,5.1
227,5.1
228,5.2
229,5.2
230,5.35
231,5.35
232,5.3
233,5.2
234,5.2
235,5.05
236,4.9
237,5.15
238,5.05
239,4.9
240,5.05
241,5.15
242,5.3
243,5.05
244,5.2
245,5.4
246,5.3
247,5.3
248,5.3
249,5.25
250,5.3
251,5.25
252,5.5
253,5.5
254,5.6
255,5.4
256,5.4
257,5.3
258,5.4
259,5.4
260,5.55
261,5.65
262,5.55
263,5.55
264,5.6
265,5.7
266,5.7
267,5.7
268,5.75
269,5.9
270,5.9
271,5.85
272,5.75
273,5.6
274,5.75
275,5.85
276,5.7
277,5.7
278,5.8
279,5.7
280,5.65
281,5.6
282,5.55
283,5.6
284,5.75
285,5.75
286,5.75
287,5.8
288,5.65
289,5.65
290,5.5
291,5.65
292,5.7
293,5.9
294,5.8
295,6
296,5.85
297,5.95
298,6
299,5.85
300,5.8
301,5.9
302,5.75
303,5.65
304,5.5
305,5.6
306,5.6
307,5.5
308,5.55
309,5.4
310,5.25
311,5.25
312,5.45
313,5.55
314,5.55
315,5.55
316,5.5
317,5.5
318,5.55
319,5.4
320,5.55
321,5.55
322,5.6
323,5.55
324,5.5
325,5.55
326,5.65
327,5.6
328,5.55
329,5.5
330,5.55
331,5.25
332,5.35
333,5.25
334,5.2
335,5.2
336,5.4
337,5.2
338,5.2
339,5.2
340,5.1
341,4.9
342,4.9
343,4.95
344,5
345,5.05
346,5.05
347,5.05
348,5.2
349,5.25
350,5.25
351,5.3
352,5.45
353,5.6
354,5.45
355,5.6
356,5.65
357,5.7
358,5.75
359,5.75
360,5.6
361,5.45
362,5.4
363,5.4
364,5.35
365,5.3
366,5.25
367,5.25
368,5.15
369,5.2
370,5.2
371,5.1
372,5.2
373,5.15
374,5
375,4.95
376,5
377,4.9
378,4.85
379,4.8
380,4.65
381,4.8
382,4.75
383,4.85
384,4.65
385,4.55
386,4.65
387,4.5
388,4.4
389,4.45
390,4.55
391,4.55
392,4.55
393,4.75
394,4.7
395,4.7
396,4.7
397,4.7
398,4.85
399,4.9
400,5
401,5
402,4.9
403,4.85
404,4.7
405,4.8
406,4.75
407,4.85
408,4.8
409,4.85
410,4.75
411,4.75
412,4.65
413,4.55
414,4.55
415,4.45
416,4.4
417,4.45
418,4.45
419,4.55
420,4.55
421,4.65
422,4.65
423,4.55
424,4.75
425,4.8
426,4.8
427,4.8
428,5
429,5
430,5.05
431,5.15
432,5.3
433,5.15
434,5.3
435,5.4
436,5.55
437,5.5
438,5.45
439,5.65
440,5.5
441,5.6
442,5.5
443,5.6
444,5.5
445,5.45
446,5.55
447,5.5
448,5.6
449,5.65
450,5.8
451,5.95
452,6
453,6.35
454,6.15
455,6.05
456,6.15
457,6.2
458,6.35
459,6.3
460,6.45
461,6.45
462,6.4
463,6.2
464,6.3
465,6.25
466,6.35
467,6.35
468,6.35
469,6.35
470,6.6
471,6.5
472,6.55
473,6.5
474,6.55
475,6.6
476,6.65
477,6.75
478,6.85
479,6.9
480,6.75
481,6.85
482,6.95
483,6.75
484,6.9
485,7.05
486,7
487,7.15
488,7.2
489,7.2
490,7.3
491,7.25
492,7.2
493,7.35
494,7.45
495,7.55
496,7.45
497,7.45
498,7.45
499,7.7
500,7.85
501,7.95
502,7.85
503,7.9
504,7.8
505,7.95
506,7.85
507,7.85
508,7.95
509,7.8
510,7.75
511,7.8
512,8.05
513,8.2
514,8.3
515,8.25
516,8.45
517,8.6
518,8.65
519,8.7
520,8.55
521,8.45
522,8.45
523,8.5
524,8.6
525,8.7
526,8.7
527,8.7
528,8.5
529,8.45
530,8.55
531,8.65
532,8.95
533,9.05
534,8.95
535,8.9
536,9.1
537,9.1
538,8.95
539,9.15
540,9.45
541,9.6
542,9.45
543,9.55
544,9.45
545,9.55
546,9.5
547,9.45
548,9.75
549,9.9
550,9.7
551,9.95
552,10
553,10.1
554,10
555,10
556,9.9
557,10.05
558,10.15
559,10.1
560,10.1
561,10.6
562,10.45
563,10.6
564,10.7
565,10.75
566,10.75
567,10.65
568,10.95
569,11
570,11.35
571,11.1
572,11.3
573,11.3
574,11.55
575,11.45
576,11.65
577,11.45
578,11.45
579,11.65
580,11.55
581,11.75
582,11.75
583,11.9
584,11.8
585,11.75
586,11.8
587,11.65
588,11.55
589,11.65
590,11.7
591,11.75
592,11.9
593,11.7
594,11.9
595,12.05
596,12.1
597,12.1
598,12.45
599,12.45
600,12.45
601,12.3
602,12.4
603,12.55
604,12.15
605,12
606,12.2
607,12.25
608,12.35
609,12.35
610,12.45
611,12.55
612,12.9
613,12.95
614,12.9
615,13.15
616,13.3
617,13.2
618,13.5
619,13.25
620,13.55
621,13.65
622,13.55
623,13.7
624,13.7
625,13.7
626,13.6
627,13.6
628,13.65
629,13.45
630,14
631,14.05
632,14.25
633,14.15
634,14.4
635,14.9
636,14.85
637,14.75
638,14.9
639,14.85
640,14.85
641,14.95
642,14.75
643,14.9
644,14.7
645,14.75
646,14.8
647,14.85
648,14.75
649,15.05
650,14.7
651,14.9
652,15.15
653,15.5
654,15.7
655,15.8
656,16
657,16
658,15.75
659,15.6
660,15.6
661,16
662,16.15
663,16.1
664,16.4
665,16.65
666,16.95
667,17.2
668,17.55
669,17.8
670,17.6
671,17.9
672,18.05
673,18.2
