"timestep","surface_agents"
1,14.7
2,16.85
3,17.35
4,18.4
5,19.7
6,20.45
7,21
8,21.7
9,22.05
10,22.25
11,22.75
12,22.75
13,23
14,23.1
15,23.55
16,23.1
17,23
18,22.95
19,23.1
20,22.7
21,22.85
22,22.5
23,22.5
24,22.2
25,21.8
26,21.9
27,21.5
28,21.6
29,21.5
30,21.2
31,21.1
32,20.85
33,21.15
34,21.3
35,21.3
36,20.95
37,21.2
38,21.25
39,21.3
40,21.1
41,21
42,20.9
43,20.75
44,20.65
45,20.4
46,20.45
47,20.2
48,19.75
49,19.55
50,19.5
51,19.5
52,19.6
53,19.45
54,19.55
55,19.4
56,19.2
57,19.4
58,19.2
59,19.5
60,19.25
61,19.15
62,19.1
63,19
64,18.9
65,19.25
66,18.95
67,18.95
68,18.75
69,18.7
70,19
71,19
72,19.05
73,18.85
74,18.85
75,19
76,19.35
77,19.05
78,18.95
79,18.8
80,18.65
81,18.5
82,18.9
83,18.75
84,18.95
85,18.95
86,19.05
87,19
88,19.1
89,18.95
90,19
91,18.75
92,18.75
93,18.5
94,18.55
95,18.25
96,17.95
97,18.1
98,17.85
99,17.95
100,18.1
101,18.05
102,17.85
103,17.95
104,17.85
105,17.6
106,17.7
107,17.55
108,17.55
109,17.45
110,17.45
111,17.1
112,17.1
113,17.3
114,17
115,16.9
116,17
117,16.8
118,16.7
119,16.85
120,16.9
121,17
122,17.1
123,17.4
124,17.45
125,17.5
126,17.55
127,17.6
128,17.85
129,18
130,17.85
131,17.8
132,17.8
133,18.1
134,18.35
135,18.55
136,18.55
137,18.35
138,18.25
139,18.15
140,18.5
141,18.8
142,18.75
143,18.95
144,19.05
145,19.6
146,19.35
147,19.55
148,19.6
149,20
150,20.2
151,20.35
152,20.3
153,20.3
154,20.25
155,20.2
156,20.25
157,20.3
158,20.65
159,20.8
160,20.95
161,21.15
162,21.4
163,21.45
164,21.3
165,21.15
166,21.2
167,21.4
168,21.7
169,21.5
170,21.7
171,21.9
172,21.85
173,21.8
174,22.25
175,21.95
176,22.1
177,22.45
178,22.1
179,22.4
180,22.6
181,22.9
182,23.05
183,23.65
184,23.7
185,23.65
186,23.85
187,24.55
188,24.9
189,24.95
190,24.8
191,24.6
192,24.45
193,24.5
194,24.95
195,25
196,25.25
197,25.35
198,25.55
199,25.55
200,25.85
201,26.2
202,26.3
203,26.8
204,27.1
205,27.85
