"timestep","surface_agents"
1,18.1
2,21.7
3,26
4,29.3
5,30.8
6,32.7
7,34
8,35.2
9,37.3
10,38.4
11,39.5
12,40.3
13,40.5
14,40.9
15,41.1
16,41.4
17,41.9
18,42.5
19,42.8
20,43.1
21,43.6
22,43.8
23,44.1
24,44.2
25,44.2
26,44.2
27,44.3
28,44.3
29,44.3
30,44.5
31,44.7
32,44.8
33,44.8
34,44.8
35,44.8
36,44.8
37,44.8
38,44.8
39,44.8
40,44.8
41,44.8
42,44.9
43,44.9
44,44.8
45,44.9
46,44.9
47,44.9
48,44.9
49,44.9
50,44.8
51,44.8
52,44.8
53,44.8
54,44.8
55,44.8
56,44.8
57,44.8
58,44.8
59,44.8
60,44.8
61,44.8
62,44.8
63,44.8
64,44.8
65,44.8
66,44.8
67,44.8
68,44.8
69,44.8
70,44.8
71,44.8
72,44.8
73,44.8
74,44.8
75,44.8
76,44.7
77,44.7
78,44.7
79,44.7
80,44.7
81,44.7
82,44.7
83,44.7
84,44.7
85,44.7
86,44.7
87,44.7
88,44.7
89,44.7
90,44.7
91,44.7
92,44.7
93,44.7
94,44.7
95,44.7
96,44.7
97,44.7
98,44.7
99,44.7
100,44.7
101,44.7
102,44.7
103,44.7
104,44.7
105,44.7
106,44.7
107,44.7
108,44.7
109,44.7
110,44.7
111,44.7
112,44.7
113,44.7
114,44.7
115,44.7
116,44.7
117,44.7
118,44.7
119,44.6
120,44.6
121,44.6
122,44.6
123,44.6
124,44.6
125,44.7
126,44.7
127,44.7
128,44.7
129,44.7
130,44.7
131,44.7
132,44.7
133,44.7
134,44.7
135,44.7
136,44.7
137,44.7
138,44.7
139,44.7
140,44.8
141,44.8
142,44.8
143,44.8
144,44.9
145,44.9
146,44.9
147,45
148,45
149,45
150,45
151,45
152,44.9
153,44.9
154,44.9
155,44.9
156,44.9
157,44.9
158,44.9
159,44.9
160,44.9
161,44.9
162,44.9
163,44.9
164,44.9
165,45
166,45
167,45
168,45
169,45
170,45
171,45
172,45
173,45
174,45
175,45
176,45
177,45
178,45
179,45
180,44.9
181,44.9
182,44.9
183,44.9
184,44.9
185,44.9
186,44.9
187,44.9
188,44.9
189,44.9
190,44.9
191,44.9
192,44.9
193,44.9
194,44.9
195,44.9
196,44.9
197,44.9
198,44.9
199,44.9
200,44.9
201,44.9
202,45
203,45
204,45
205,45
206,45
207,45.1
208,45.2
209,45.2
210,45.2
